1.0,1,n,
1.2,3,n,
1.4,4,n,
1.6,5,n,
1.8,1,n,
2.0,3,n,
2.2,4,n,
2.4,5,n,
2.6,1,n,
2.8,3,n,
3.0,4,n,
3.2,5,n,
3.4,1,n,
3.6,3,n,
3.8,4,n,
4.0,6,n,
4.2,1,n,
4.4,2,n,
4.6,3,n,
4.8,4,n,
5.0,1,n,
5.2,2,n,
5.4,3,n,
5.6,4,n,
5.8,1,n,
6.0,2,n,
6.2,3,n,
6.4,4,n,
6.6,5,n,
6.8,4,n,
7.0,3,n,
7.2,2,n,
7.4,1,o,
7.6,3,o,
7.8,4,o,
8.0,5,o,
8.2,1,o,
8.4,3,o,
8.6,4,o,
8.8,5,o,
9.0,1,o,
9.2,3,o,
9.4,4,o,
9.6,5,o,
9.8,1,o,
10.0,3,o,
10.2,4,o,
10.4,6,o,
10.6,1,o,
10.8,2,o,
11.0,3,o,
11.2,4,o,
11.4,5,o,
11.6,4,o,
11.8,3,o,
12.0,2,o,
12.2,3,o,
12.6,1,n,
13.0,1,n,
13.0,3,n,
