1.0,1,n,
1.0,3,n,
1.5,1,n,
1.5,3,n,
1.75,2,n,
2.0,1,n,
2.0,3,n,
2.5,1,n,
2.5,3,n,
2.75,4,n,
3.0,5,n,
3.25,6,n,
3.5,4,n,
3.75,5,n,
4.0,3,n,
4.5,1,n,
5.0,1,n,
5.0,3,n,
5.5,1,n,
5.5,3,n,
5.75,2,n,
6.0,1,n,
6.0,3,n,
6.5,1,n,
6.5,3,n,
6.75,4,n,
7.0,5,n,
7.25,6,n,
7.5,4,n,
7.75,5,n,
8.0,3,n,
9.0,1,o,
9.0,3,o,
9.5,1,o,
9.5,3,o,
9.75,2,o,
10.0,1,o,
10.0,3,o,
10.5,1,o,
10.5,3,o,
10.75,4,o,
11.0,5,o,
11.25,6,o,
11.5,4,o,
11.75,5,o,
12.0,3,o,
12.5,1,o,
13.00,1,o,
13.00,3,o,
13.5,1,o,
13.5,3,o,
13.75,2,o,
14.0,1,o,
14.0,3,o,
14.5,1,o,
14.5,3,o,
14.75,4,o,
15.0,5,o,
15.25,6,o,
15.5,4,o,
15.75,5,o,
16.0,1,n,
16.0,3,n,
